date,notional_yes,notional_no,notional_total
2021-06-30,3.8,0,3.8
2021-07-01,1148.42,11.68,1160.1
2021-07-02,383.89,106.34,490.23
2021-07-04,0,52.45,52.45
2021-07-05,444.01,369.84,813.85
2021-07-06,388.64,128.52,517.16
2021-07-07,525.91,240.14,766.05
2021-07-08,9537,477.19,10014.19
2021-07-09,1898.51,1115.33,3013.84
2021-07-10,1749.46,3644.24,5393.7
2021-07-11,13.64,1073.67,1087.31
2021-07-12,346.72,1483.54,1830.26
2021-07-13,1433.99,5577.85,7011.84
2021-07-14,315.92,1614.44,1930.36
2021-07-15,776.16,2056.79,2832.95
2021-07-16,1733.59,938.59,2672.18
2021-07-17,4780.95,684.98,5465.93
2021-07-18,2712.23,1468.39,4180.62
2021-07-19,783.63,6458.68,7242.31
2021-07-20,2523.9,11617.4,14141.3
2021-07-21,2600.56,2450.14,5050.7
2021-07-22,4775.31,9701.54,14476.85
2021-07-23,3032.52,1678.23,4710.75
2021-07-24,5417.14,8852.92,14270.06
2021-07-25,1019.34,4660.69,5680.03
2021-07-26,1888.15,11291.34,13179.49
2021-07-27,4784.67,4563.9,9348.57
2021-07-28,6052.07,2311.96,8364.03
2021-07-29,6661.07,7772.62,14433.69
2021-07-30,8873.47,6851.91,15725.38
2021-07-31,4620.86,10267.73,14888.59
2021-08-01,9972.87,7930.69,17903.56
2021-08-02,3945.9,8586.87,12532.77
2021-08-03,9970.81,19369.41,29340.22
2021-08-04,32989.35,17852.92,50842.27
2021-08-05,32300.24,17362.56,49662.8
2021-08-06,32714.63,20439.27,53153.9
2021-08-07,12599.08,13422.87,26021.95
2021-08-08,5804.35,13915.13,19719.48
2021-08-09,12400.99,35061.73,47462.72
2021-08-10,18682.2,18788.47,37470.67
2021-08-11,14821.52,28046.07,42867.59
2021-08-12,5974.78,26115.67,32090.45
2021-08-13,19887.49,25826.25,45713.74
2021-08-14,5373.06,10372.25,15745.31
2021-08-15,3666.02,25811.47,29477.49
2021-08-16,8046.02,9249.74,17295.76
2021-08-17,15609.72,34114.08,49723.8
2021-08-18,15262.5,11657.47,26919.97
2021-08-19,24665.6,12032.15,36697.75
2021-08-20,14075.53,27683.84,41759.37
2021-08-21,16286.56,21304.03,37590.59
2021-08-22,20820.39,35558.55,56378.94
2021-08-23,6887.64,15753.83,22641.47
2021-08-24,21947.03,22982.98,44930.01
2021-08-25,19184.98,21189.52,40374.5
2021-08-26,20240.96,21150.51,41391.47
2021-08-27,37696.13,18812.8,56508.93
2021-08-28,13704.67,14805.25,28509.92
2021-08-29,14981.33,20013.42,34994.75
2021-08-30,15377.08,12516.44,27893.52
2021-08-31,13618.5,25499.45,39117.95
2021-09-01,19070.52,20619,39689.52
2021-09-02,3245.87,16613.39,19859.26
2021-09-03,16966.51,17045.15,34011.66
2021-09-04,21255.15,14044.57,35299.72
2021-09-05,9440.12,13136.14,22576.26
2021-09-06,10309.5,10184.09,20493.59
2021-09-07,6563.39,14192.18,20755.57
2021-09-08,16384.09,16564.66,32948.75
2021-09-09,14583.27,8910.52,23493.79
2021-09-10,13967.78,14703.99,28671.77
2021-09-11,9469.18,6783.54,16252.72
2021-09-12,9543.25,5637.61,15180.86
2021-09-13,13908.38,13847.53,27755.91
2021-09-14,13897.75,21908.67,35806.42
2021-09-15,23399.55,23385.61,46785.16
2021-09-16,2439.81,3077.09,5516.9
2021-09-17,21226.47,5135.61,26362.08
2021-09-18,1520.16,3384.36,4904.52
2021-09-19,603.92,2467.97,3071.89
2021-09-20,1399.84,2553.56,3953.4
2021-09-21,10926.77,23209.15,34135.92
2021-09-22,8270.52,21582.89,29853.41
2021-09-23,19208.88,11418.91,30627.79
2021-09-24,17989.69,16660.84,34650.53
2021-09-25,19549.13,9867.28,29416.41
2021-09-26,12331.6,8752.23,21083.83
2021-09-27,14380.43,12064.33,26444.76
2021-09-28,22311.38,40516.79,62828.17
2021-09-29,13831.71,17222.45,31054.16
2021-09-30,14417.24,39853.43,54270.67
2021-10-01,9167.75,23406.44,32574.19
2021-10-02,7433.82,8396.12,15829.94
2021-10-03,8587.45,5348.79,13936.24
2021-10-04,15289.01,13325.33,28614.34
2021-10-05,12061.66,18536.62,30598.28
2021-10-06,20681.4,31697.35,52378.75
2021-10-07,18487.85,16734.29,35222.14
2021-10-08,15158.97,14766.6,29925.57
2021-10-09,6067.8,3483.07,9550.87
2021-10-10,4272.46,6553.56,10826.02
2021-10-11,8173.03,10685.95,18858.98
2021-10-12,17237.31,13501.28,30738.59
2021-10-13,16047.03,20062.07,36109.1
2021-10-14,12722.34,15696.43,28418.77
2021-10-15,6617.95,8838.87,15456.82
2021-10-16,6404.27,6108.14,12512.41
2021-10-17,2037.27,3230.19,5267.46
2021-10-18,8788.41,11369.9,20158.31
2021-10-19,12153.43,11702.1,23855.53
2021-10-20,14493.85,27188.83,41682.68
2021-10-21,9749.5,25628.67,35378.17
2021-10-22,9055.24,12565.15,21620.39
2021-10-23,5848.95,5849.33,11698.28
2021-10-24,3229.83,8020.96,11250.79
2021-10-25,12489.49,17315.3,29804.79
2021-10-26,11446.69,21311.54,32758.23
2021-10-27,20337.3,17494.84,37832.14
2021-10-28,22866.64,28082.85,50949.49
2021-10-29,10287.13,20913.41,31200.54
2021-10-30,11005.2,12351.68,23356.88
2021-10-31,8253.72,8323.43,16577.15
2021-11-01,16835.46,19439.47,36274.93
2021-11-02,18395.53,22058.1,40453.63
2021-11-03,28810.56,50325.43,79135.99
2021-11-04,20172.75,39590.78,59763.53
2021-11-05,34847.82,78228.91,113076.73
2021-11-06,20905.85,25874.16,46780.01
2021-11-07,3595.95,18007.75,21603.7
2021-11-08,28810.44,42410.83,71221.27
2021-11-09,12517.03,29903.4,42420.43
2021-11-10,13418.8,19632.55,33051.35
2021-11-11,11164.79,22068.34,33233.13
2021-11-12,8955.78,18108.43,27064.21
2021-11-13,10845.96,5186.13,16032.09
2021-11-14,8061.75,17093.72,25155.47
2021-11-15,15969.74,11500.62,27470.36
2021-11-16,16052.65,17559.63,33612.28
2021-11-17,26109.78,18122.25,44232.03
2021-11-18,50890.79,17032.74,67923.53
2021-11-19,18798.61,22451.01,41249.62
2021-11-20,8224.17,7999.67,16223.84
2021-11-21,8211.46,5836.51,14047.97
2021-11-22,9859.38,23732.01,33591.39
2021-11-23,11106.88,35791.79,46898.67
2021-11-24,15245.68,19793.2,35038.88
2021-11-25,12716.89,8766.14,21483.03
2021-11-26,12791.84,19753.19,32545.03
2021-11-27,8301.1,16447.46,24748.56
2021-11-28,4766.68,15426.34,20193.02
2021-11-29,16320.68,26864.31,43184.99
2021-11-30,30485.89,27352.31,57838.2
2021-12-01,23557.23,24275.85,47833.08
2021-12-02,29347.64,43428.23,72775.87
2021-12-03,18651.25,23879.15,42530.4
2021-12-04,12038.29,7793.61,19831.9
2021-12-05,8681.91,10630.82,19312.73
2021-12-06,17263.8,18556.53,35820.33
2021-12-07,25309.76,33909.67,59219.43
2021-12-08,14584.13,14682.81,29266.94
2021-12-09,22617.02,34792.45,57409.47
2021-12-10,31911.67,16231.77,48143.44
2021-12-11,11642.37,11254.87,22897.24
2021-12-12,16052.18,9585.15,25637.33
2021-12-13,28315.84,28946.73,57262.57
2021-12-14,85316.43,62212.02,147528.45
2021-12-15,46233.11,41515.04,87748.15
2021-12-16,44894.82,25639.9,70534.72
2021-12-17,31593.95,24360.3,55954.25
2021-12-18,9838.72,10550.34,20389.06
2021-12-19,12938.55,15655.6,28594.15
2021-12-20,65483.92,25046.57,90530.49
2021-12-21,49428.78,19797.97,69226.75
2021-12-22,33360.13,26627.86,59987.99
2021-12-23,18186.62,17923.25,36109.87
2021-12-24,29192.51,17934.15,47126.66
2021-12-25,10963.45,7101.22,18064.67
2021-12-26,7533.11,8564.22,16097.33
2021-12-27,19006.04,11603.43,30609.47
2021-12-28,63469.52,47971.85,111441.37
2021-12-29,64989.7,28131.18,93120.88
2021-12-30,20269.94,15248.65,35518.59
2021-12-31,28313.09,23669.59,51982.68
2022-01-01,19520.87,7507.22,27028.09
2022-01-02,13121.02,7626.36,20747.38
2022-01-03,23298.41,24775.91,48074.32
2022-01-04,93248.97,26219.68,119468.65
2022-01-05,43115.17,58528.5,101643.67
2022-01-06,23658.09,18964.94,42623.03
2022-01-07,55606.53,35980.93,91587.46
2022-01-08,16483.61,20958.98,37442.59
2022-01-09,11171.97,17899.24,29071.21
2022-01-10,58419.86,31611.8,90031.66
2022-01-11,61890.72,50870.25,112760.97
2022-01-12,30680.87,23887.86,54568.73
2022-01-13,40985.86,46302.16,87288.02
2022-01-14,16336.61,42858.74,59195.35
2022-01-15,9648.67,28213.32,37861.99
2022-01-16,10453.43,17200.66,27654.09
2022-01-17,17073.91,40928.61,58002.52
2022-01-18,23028.27,61659.3,84687.57
2022-01-19,19526,29788.64,49314.64
2022-01-20,12921.15,51996.57,64917.72
2022-01-21,9905.71,25408.57,35314.28
2022-01-22,9614.29,18842.57,28456.86
2022-01-23,7972.28,13233.66,21205.94
2022-01-24,15068.08,20272.83,35340.91
2022-01-25,15335.41,21627.03,36962.44
2022-01-26,32433.23,29113.44,61546.67
2022-01-27,24712.19,15669.33,40381.52
2022-01-28,22939.85,25312.82,48252.67
2022-01-29,21955.82,22303.29,44259.11
2022-01-30,8402.9,11491.35,19894.25
2022-01-31,8129.27,14924.69,23053.96
2022-02-01,18141.74,21428.68,39570.42
2022-02-02,21415.4,17055.21,38470.61
2022-02-03,26551.96,18979.45,45531.41
2022-02-04,31757.87,24888.03,56645.9
2022-02-05,8531.02,14648.43,23179.45
2022-02-06,11255.62,27736.35,38991.97
2022-02-07,23024.33,20022.81,43047.14
2022-02-08,47502.34,28748.53,76250.87
2022-02-09,25177.46,19085.79,44263.25
2022-02-10,43933.25,34035.85,77969.1
2022-02-11,30000.04,34414.02,64414.06
2022-02-12,16033.56,9996.03,26029.59
2022-02-13,18968.64,21684.03,40652.67
2022-02-14,20266.81,15432.2,35699.01
2022-02-15,32632.08,35471.92,68104
2022-02-16,19611.44,34820.02,54431.46
2022-02-17,22690.81,32621.46,55312.27
2022-02-18,20087.8,23300.53,43388.33
2022-02-19,6858.06,6570.3,13428.36
2022-02-20,8222.65,9193.5,17416.15
2022-02-21,14474.71,12263.72,26738.43
2022-02-22,29138.82,38672.31,67811.13
2022-02-23,26590.22,18075.73,44665.95
2022-02-24,32007.1,32911.74,64918.84
2022-02-25,50339.56,35489.35,85828.91
2022-02-26,5591.67,7985.55,13577.22
2022-02-27,10228.66,17082.94,27311.6
2022-02-28,14443.31,21493.36,35936.67
2022-03-01,22475.61,28112.47,50588.08
2022-03-02,39505.87,21312.6,60818.47
2022-03-03,21235.88,16820.63,38056.51
2022-03-04,13121.53,24264.29,37385.82
2022-03-05,6668.33,7468.46,14136.79
2022-03-06,6653.73,10218.81,16872.54
2022-03-07,23731.28,19047.4,42778.68
2022-03-08,24395.81,31258.57,55654.38
2022-03-09,31334.75,33252,64586.75
2022-03-10,50570.73,21542.27,72113
2022-03-11,19983.27,20951.36,40934.63
2022-03-12,8191.62,9475.2,17666.82
2022-03-13,15035.21,12822.64,27857.85
2022-03-14,23626.94,41285.3,64912.24
2022-03-15,16651.24,22276.28,38927.52
2022-03-16,41682.81,21765.82,63448.63
2022-03-17,23529.42,20919.76,44449.18
2022-03-18,17032.86,26778.04,43810.9
2022-03-19,10918.58,16941.39,27859.97
2022-03-20,20761.71,26998.81,47760.52
2022-03-21,27806.83,20586.34,48393.17
2022-03-22,27200.94,26216.17,53417.11
2022-03-23,23500.55,19951.38,43451.93
2022-03-24,15105.45,19347.55,34453
2022-03-25,25356.22,29713.61,55069.83
2022-03-26,9660.41,7030.05,16690.46
2022-03-27,25133.93,44524.82,69658.75
2022-03-28,24286.3,25856.22,50142.52
2022-03-29,13633.93,21848.75,35482.68
2022-03-30,13686.02,12223.67,25909.69
2022-03-31,13566.2,22952.65,36518.85
2022-04-01,21585.71,21277.92,42863.63
2022-04-02,7299.87,9787.72,17087.59
2022-04-03,21804.18,62789.9,84594.08
2022-04-04,17126.72,14161.75,31288.47
2022-04-05,31791.02,21953.43,53744.45
2022-04-06,25204.03,22535.29,47739.32
2022-04-07,11908.95,16799.79,28708.74
2022-04-08,13913.31,11085.68,24998.99
2022-04-09,7848.62,7259.06,15107.68
2022-04-10,12416.53,5513.25,17929.78
2022-04-11,26196.61,18084.18,44280.79
2022-04-12,26801.84,51595.05,78396.89
2022-04-13,44397.68,27332.01,71729.69
2022-04-14,15251.72,24544.48,39796.2
2022-04-15,13477.12,15803.61,29280.73
2022-04-16,3201.55,8827.04,12028.59
2022-04-17,7184.84,4314.73,11499.57
2022-04-18,38438.91,23619,62057.91
2022-04-19,25609.12,22932.83,48541.95
2022-04-20,24697.39,24571.85,49269.24
2022-04-21,24895.8,18698.12,43593.92
2022-04-22,21903.82,21919.31,43823.13
2022-04-23,20605.67,7867.71,28473.38
2022-04-24,12108.79,5473.55,17582.34
2022-04-25,34328.2,27361.26,61689.46
2022-04-26,21401.1,43952.99,65354.09
2022-04-27,44155.81,46501.24,90657.05
2022-04-28,105251.27,70019.46,175270.73
2022-04-29,82727.49,122015.38,204742.87
2022-04-30,15505.05,20384.36,35889.41
2022-05-01,14379.42,28275.7,42655.12
2022-05-02,53470.82,105419.56,158890.38
2022-05-03,75902.83,143683.37,219586.2
2022-05-04,92203.21,211181.1,303384.31
2022-05-05,54793.73,161063.69,215857.42
2022-05-06,69742.01,132276.57,202018.58
2022-05-07,11055.67,20698.07,31753.74
2022-05-08,12015.61,35790.53,47806.14
2022-05-09,42103.2,120546.01,162649.21
2022-05-10,56663.86,154922.82,211586.68
2022-05-11,62065.67,187690.71,249756.38
2022-05-12,45975.26,108534.56,154509.82
2022-05-13,31200.23,86005.09,117205.32
2022-05-14,9174.93,10064.35,19239.28
2022-05-15,11472.17,13891.88,25364.05
2022-05-16,36139.74,109439.97,145579.71
2022-05-17,47307.76,77468.53,124776.29
2022-05-18,60223.34,104551.57,164774.91
2022-05-19,52383.58,149623.04,202006.62
2022-05-20,36897.64,79228.63,116126.27
2022-05-21,18822.33,13125.96,31948.29
2022-05-22,11361.3,36831.62,48192.92
2022-05-23,33106.57,107949.03,141055.6
2022-05-24,34187.19,138113.13,172300.32
2022-05-25,39134.88,117223.34,156358.22
2022-05-26,29155.14,106172,135327.14
2022-05-27,30757.6,96585.62,127343.22
2022-05-28,8039.06,11668.78,19707.84
2022-05-29,6000.19,56048.29,62048.48
2022-05-30,8053.88,23571.46,31625.34
2022-05-31,36603.01,100368.28,136971.29
2022-06-01,65703.78,109998.49,175702.27
2022-06-02,49958.57,111818.6,161777.17
2022-06-03,45731.45,120976.66,166708.11
2022-06-04,8457.44,24096.27,32553.71
2022-06-05,9840.62,19084.56,28925.18
2022-06-06,39053.61,152178.69,191232.3
2022-06-07,48062.01,161731.51,209793.52
2022-06-08,48915.19,146839.91,195755.1
2022-06-09,55917.67,136384.75,192302.42
2022-06-10,85760.39,187503.82,273264.21
2022-06-11,11495.73,21767.81,33263.54
2022-06-12,19322.37,54389.18,73711.55
2022-06-13,98951.38,123863.93,222815.31
2022-06-14,97587.4,142529.59,240116.99
2022-06-15,88456.12,143303.81,231759.93
2022-06-16,52354.38,85340.84,137695.22
2022-06-17,58078.56,156649.18,214727.74
2022-06-18,15756.16,35263.28,51019.44
2022-06-19,33832.04,43609.88,77441.92
2022-06-20,19420.59,40182.31,59602.9
2022-06-21,44332.89,84511.6,128844.49
2022-06-22,54162.17,145318.53,199480.7
2022-06-23,42781.01,120768.65,163549.66
2022-06-24,32781.6,76927.43,109709.03
2022-06-25,10407,13705.78,24112.78
2022-06-26,9187.73,46501.26,55688.99
2022-06-27,37030.7,110309.21,147339.91
2022-06-28,49434.04,122479.74,171913.78
2022-06-29,54166.84,147611.23,201778.07
2022-06-30,63925.55,230104.44,294029.99
2022-07-01,63342.26,156470.41,219812.67
2022-07-02,21812.25,22186.84,43999.09
2022-07-03,22189.11,28515.99,50705.1
2022-07-04,8072.21,19790.54,27862.75
2022-07-05,43383.61,150118.66,193502.27
2022-07-06,44602.55,96788.66,141391.21
2022-07-07,43511.9,68537.37,112049.27
2022-07-08,57520.91,126013.1,183534.01
2022-07-09,29866.03,25210.45,55076.48
2022-07-10,7901.6,23610.09,31511.69
2022-07-11,45633.68,106708.4,152342.08
2022-07-12,74061.52,144889.45,218950.97
2022-07-13,153564.77,241708.28,395273.05
2022-07-14,66167.93,183944.25,250112.18
2022-07-15,51016.32,96016.4,147032.72
2022-07-16,14357.04,24999.08,39356.12
2022-07-17,9855.68,22655.89,32511.57
2022-07-18,49933.17,82594.41,132527.58
2022-07-19,48606.93,118858.45,167465.38
2022-07-20,41108.94,125328.18,166437.12
2022-07-21,32492.14,86381.7,118873.84
2022-07-22,55486.29,125115.46,180601.75
2022-07-23,8230.66,22100.14,30330.8
2022-07-24,9936.72,18584.49,28521.21
2022-07-25,41517.17,90296.26,131813.43
2022-07-26,48907.5,125265.23,174172.73
2022-07-27,63097.17,135104.47,198201.64
2022-07-28,66418.99,146807.11,213226.1
2022-07-29,62996.35,89019.75,152016.1
2022-07-30,7889.66,16520,24409.66
2022-07-31,7108.38,12731.77,19840.15
2022-08-01,35943.66,110646.19,146589.85
2022-08-02,53017.03,121237.68,174254.71
2022-08-03,59910.59,108473.6,168384.19
2022-08-04,51247.05,113891.75,165138.8
2022-08-05,65964.14,123676.89,189641.03
2022-08-06,17664.94,22270.79,39935.73
2022-08-07,19556.63,32060.39,51617.02
2022-08-08,62123.89,177189.28,239313.17
2022-08-09,72417.09,156067.54,228484.63
2022-08-10,85618.08,153470.39,239088.47
2022-08-11,68963.19,173741.14,242704.33
2022-08-12,62517.85,136425.03,198942.88
2022-08-13,12075.57,33180.09,45255.66
2022-08-14,8006.48,29250.95,37257.43
2022-08-15,59518.2,246681.22,306199.42
2022-08-16,73744.76,185195.78,258940.54
2022-08-17,60192.72,152758.61,212951.33
2022-08-18,67285.36,122898.56,190183.92
2022-08-19,44265.88,135263.12,179529
2022-08-20,5861.19,15042.66,20903.85
2022-08-21,11228.36,37463.4,48691.76
2022-08-22,58715.47,115260.54,173976.01
2022-08-23,79990.33,139677.61,219667.94
2022-08-24,106958.08,166134.39,273092.47
2022-08-25,68732.87,151419.96,220152.83
2022-08-26,92336,224035.87,316371.87
2022-08-27,8110.37,41286.39,49396.76
2022-08-28,7730.41,45060.39,52790.8
2022-08-29,66738.65,143823.99,210562.64
2022-08-30,58234.57,172629.56,230864.13
2022-08-31,51371.86,111561.67,162933.53
2022-09-01,63185.49,97999.68,161185.17
2022-09-02,56965.32,159918.22,216883.54
2022-09-03,6110.21,26023.26,32133.47
2022-09-04,7061.7,19475.78,26537.48
2022-09-05,10533.16,30579.53,41112.69
2022-09-06,70155.8,205671.57,275827.37
2022-09-07,107815.34,131152.59,238967.93
2022-09-08,65494.38,131575.79,197070.17
2022-09-09,57521.55,78907.15,136428.7
2022-09-10,15310.81,41759.34,57070.15
2022-09-11,14306.91,20200.65,34507.56
2022-09-12,59931.7,123293.24,183224.94
2022-09-13,151663.53,186950.72,338614.25
2022-09-14,61400.93,121992.33,183393.26
2022-09-15,47654.1,122451.29,170105.39
2022-09-16,55028.09,123194.9,178222.99
2022-09-17,9747.98,29943.48,39691.46
2022-09-18,11973.32,24460.08,36433.4
2022-09-19,42630.36,98768.43,141398.79
2022-09-20,80224.78,131691.37,211916.15
2022-09-21,60891.74,160397.52,221289.26
2022-09-22,59276.13,115475.98,174752.11
2022-09-23,45612.18,150211.75,195823.93
2022-09-24,14540.39,40931.31,55471.7
2022-09-25,6403.35,30684.81,37088.16
2022-09-26,44059.6,105411.71,149471.31
2022-09-27,64306.78,153748.7,218055.48
2022-09-28,66781.15,134055.85,200837
2022-09-29,48702.18,130971.81,179673.99
2022-09-30,49239.06,93294.66,142533.72
2022-10-01,6642.96,24167.75,30810.71
2022-10-02,13952.45,46945.29,60897.74
2022-10-03,51150.79,122846.87,173997.66
2022-10-04,57120.36,110782.98,167903.34
2022-10-05,50369.06,130031.49,180400.55
2022-10-06,52044.47,116739.86,168784.33
2022-10-07,61759.57,97955.95,159715.52
2022-10-08,10704.03,29803.07,40507.1
2022-10-09,15160.46,24297.83,39458.29
2022-10-10,51964.31,111368.57,163332.88
2022-10-11,45485.23,110758.23,156243.46
2022-10-12,61626.38,135750.62,197377
2022-10-13,124012.16,179851.74,303863.9
2022-10-14,55573.05,96738.18,152311.23
2022-10-15,7211.11,20744.05,27955.16
2022-10-16,8820.92,31538.83,40359.75
2022-10-17,50508.86,121036.64,171545.5
2022-10-18,48193.85,138511.83,186705.68
2022-10-19,48246.3,102680.36,150926.66
